Data;item;v0;v1
2014-03-04 18:00:00.000;12941;37.36;37.36
2014-03-04 18:30:00.000;12941;37.12;37.12
2014-03-04 19:00:00.000;12941;49.2;49.2
2014-03-04 19:30:00.000;12941;53.76;53.76
2014-03-04 20:00:00.000;12941;53.76;53.76
2014-03-04 20:30:00.000;12941;53.92;53.92
2014-03-04 21:00:00.000;12941;54.32;54.32
2014-03-04 21:30:00.000;12941;54.24;54.24
2014-03-04 22:00:00.000;12941;54.48;54.48
2014-03-04 22:30:00.000;12941;43.12;43.12
2014-03-04 23:00:00.000;12941;37.04;37.04
2014-03-04 23:30:00.000;12941;36.72;36.72
2014-03-05 00:00:00.000;12941;36.08;36.08
2014-03-05 00:30:00.000;12941;36.32;36.32
2014-03-05 01:00:00.000;12941;36.48;36.48
2014-03-05 01:30:00.000;12941;36.56;36.56
2014-03-05 02:00:00.000;12941;35.92;35.92
2014-03-05 02:30:00.000;12941;35.76;35.76
2014-03-05 03:00:00.000;12941;35.84;35.84
2014-03-05 03:30:00.000;12941;35.84;35.84
2014-03-05 04:00:00.000;12941;35.84;35.84
2014-03-05 04:30:00.000;12941;35.68;35.68
2014-03-05 05:00:00.000;12941;35.76;35.76
2014-03-05 05:30:00.000;12941;35.44;35.44
2014-03-05 06:00:00.000;12941;35.36;35.36
2014-03-05 06:30:00.000;12941;35.84;35.84
2014-03-05 07:00:00.000;12941;35.76;35.76
2014-03-05 07:30:00.000;12941;36.32;36.32
2014-03-05 08:00:00.000;12941;36.8;36.8
2014-03-05 08:30:00.000;12941;36.56;36.56
2014-03-05 09:00:00.000;12941;36.72;36.72
2014-03-05 09:30:00.000;12941;40.64;40.64
2014-03-05 10:00:00.000;12941;54.16;54.16
2014-03-05 10:30:00.000;12941;54.16;54.16
2014-03-05 11:00:00.000;12941;54.08;54.08
2014-03-05 11:30:00.000;12941;54.24;54.24
2014-03-05 12:00:00.000;12941;54.4;54.4
2014-03-05 12:30:00.000;12941;42.08;42.08
2014-03-05 13:00:00.000;12941;36.32;36.32
2014-03-05 13:30:00.000;12941;35.84;35.84
2014-03-05 14:00:00.000;12941;35.84;35.84
2014-03-05 14:30:00.000;12941;35.76;35.76
2014-03-05 15:00:00.000;12941;39.2;39.2
2014-03-05 15:30:00.000;12941;54.16;54.16
2014-03-05 16:00:00.000;12941;54.4;54.4
2014-03-05 16:30:00.000;12941;54.16;54.16
2014-03-05 17:00:00.000;12941;54.16;54.16
2014-03-05 17:30:00.000;12941;54.24;54.24
2014-03-05 18:00:00.000;12941;54.24;54.24
2014-03-05 18:30:00.000;12941;54.08;54.08
2014-03-05 19:00:00.000;12941;53.52;53.52
2014-03-05 19:30:00.000;12941;53.52;53.52
2014-03-05 20:00:00.000;12941;53.36;53.36
2014-03-05 20:30:00.000;12941;53.36;53.36
2014-03-05 21:00:00.000;12941;53.68;53.68
2014-03-05 21:30:00.000;12941;53.76;53.76
2014-03-05 22:00:00.000;12941;54.32;54.32
2014-03-05 22:30:00.000;12941;42.16;42.16
2014-03-05 23:00:00.000;12941;37.36;37.36
2014-03-05 23:30:00.000;12941;36.56;36.56
2014-03-06 00:00:00.000;12941;36;36
2014-03-06 00:30:00.000;12941;36.24;36.24
2014-03-06 01:00:00.000;12941;36.32;36.32
2014-03-06 01:30:00.000;12941;36.4;36.4
2014-03-06 02:00:00.000;12941;36.08;36.08
2014-03-06 02:30:00.000;12941;35.52;35.52
2014-03-06 03:00:00.000;12941;35.52;35.52
2014-03-06 03:30:00.000;12941;35.6;35.6
2014-03-06 04:00:00.000;12941;35.6;35.6
2014-03-06 04:30:00.000;12941;35.52;35.52
2014-03-06 05:00:00.000;12941;35.36;35.36
2014-03-06 05:30:00.000;12941;35.2;35.2
2014-03-06 06:00:00.000;12941;35.12;35.12
2014-03-06 06:30:00.000;12941;35.68;35.68
2014-03-06 07:00:00.000;12941;35.2;35.2
2014-03-06 07:30:00.000;12941;35.2;35.2
2014-03-06 08:00:00.000;12941;36.72;36.72
2014-03-06 08:30:00.000;12941;36.72;36.72
2014-03-06 09:00:00.000;12941;36.8;36.8
2014-03-06 09:30:00.000;12941;50.08;50.08
2014-03-06 10:00:00.000;12941;53.84;53.84
2014-03-06 10:30:00.000;12941;53.12;53.12
2014-03-06 11:00:00.000;12941;53.04;53.04
2014-03-06 11:30:00.000;12941;53.28;53.28
2014-03-06 12:00:00.000;12941;53.12;53.12
2014-03-06 12:30:00.000;12941;53.44;53.44
2014-03-06 13:00:00.000;12941;53.44;53.44
2014-03-06 13:30:00.000;12941;44.4;44.4
2014-03-06 14:00:00.000;12941;36.08;36.08
2014-03-06 14:30:00.000;12941;36;36
2014-03-06 15:00:00.000;12941;35.92;35.92
2014-03-06 15:30:00.000;12941;36.08;36.08
2014-03-06 16:00:00.000;12941;36.24;36.24
2014-03-06 16:30:00.000;12941;53.12;53.12
2014-03-06 17:00:00.000;12941;53.76;53.76
2014-03-06 17:30:00.000;12941;53.52;53.52
2014-03-06 18:00:00.000;12941;54.16;54.16
2014-03-06 18:30:00.000;12941;54.16;54.16
2014-03-06 19:00:00.000;12941;53.92;53.92
2014-03-06 19:30:00.000;12941;53.44;53.44
2014-03-06 20:00:00.000;12941;53.52;53.52
2014-03-06 20:30:00.000;12941;53.6;53.6
2014-03-06 21:00:00.000;12941;53.52;53.52
2014-03-06 21:30:00.000;12941;53.92;53.92
2014-03-06 22:00:00.000;12941;54;54
2014-03-06 22:30:00.000;12941;54.32;54.32
2014-03-06 23:00:00.000;12941;54.56;54.56
2014-03-06 23:30:00.000;12941;53.84;53.84
2014-03-07 00:00:00.000;12941;52.88;52.88
2014-03-07 00:30:00.000;12941;52.96;52.96
2014-03-07 01:00:00.000;12941;39.84;39.84
2014-03-07 01:30:00.000;12941;35.68;35.68
2014-03-07 02:00:00.000;12941;35.92;35.92
2014-03-07 02:30:00.000;12941;36;36
2014-03-07 03:00:00.000;12941;36.08;36.08
2014-03-07 03:30:00.000;12941;36.24;36.24
2014-03-07 04:00:00.000;12941;36.24;36.24
2014-03-07 04:30:00.000;12941;36.08;36.08
2014-03-07 05:00:00.000;12941;36.16;36.16
2014-03-07 05:30:00.000;12941;35.68;35.68
2014-03-07 06:00:00.000;12941;35.92;35.92
2014-03-07 06:30:00.000;12941;35.6;35.6
2014-03-07 07:00:00.000;12941;35.76;35.76
2014-03-07 07:30:00.000;12941;35.92;35.92
2014-03-07 08:00:00.000;12941;36.8;36.8
2014-03-07 08:30:00.000;12941;36.64;36.64
2014-03-07 09:00:00.000;12941;36.32;36.32
2014-03-07 09:30:00.000;12941;38.64;38.64
2014-03-07 10:00:00.000;12941;53.2;53.2
2014-03-07 10:30:00.000;12941;53.52;53.52
2014-03-07 11:00:00.000;12941;53.92;53.92
2014-03-07 11:30:00.000;12941;54.16;54.16
2014-03-07 12:00:00.000;12941;54.32;54.32
2014-03-07 12:30:00.000;12941;54.56;54.56
2014-03-07 13:00:00.000;12941;51.6;51.6
2014-03-07 13:30:00.000;12941;36.72;36.72
2014-03-07 14:00:00.000;12941;36.48;36.48
2014-03-07 14:30:00.000;12941;36.64;36.64
2014-03-07 15:00:00.000;12941;36.64;36.64
2014-03-07 15:30:00.000;12941;47.52;47.52
2014-03-07 16:00:00.000;12941;54.24;54.24
2014-03-07 16:30:00.000;12941;54;54
2014-03-07 17:00:00.000;12941;54.08;54.08
2014-03-07 17:30:00.000;12941;53.84;53.84
2014-03-07 18:00:00.000;12941;54.08;54.08
